,price,size,rooms,bathrooms,municipality,distance,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_True
114,600.0,90.0,3,1,686.0797448849435,25182.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
115,650.0,45.0,0,1,705.6331317949237,5656.0,678.6636365033631,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
116,750.0,38.0,1,1,705.6331317949237,470.0,678.6636365033631,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,730.0,50.0,1,1,697.678872980834,16410.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
118,735.0,30.0,0,1,705.6331317949237,11188.0,696.0917641954768,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
119,610.0,72.0,1,1,689.0655122002563,19544.0,678.6636365033631,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,580.0,54.0,3,2,678.2236039146826,39053.0,670.4163818553365,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,725.0,50.0,1,1,692.2585878985183,23787.0,690.1951758466795,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
122,750.0,48.0,1,1,705.6331317949237,5085.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
123,750.0,70.0,3,1,699.6096264559128,29660.0,696.0917641954768,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
124,750.0,49.0,1,1,705.6331317949237,8465.0,700.3420445563922,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
125,730.0,60.0,3,1,697.3742686460787,20948.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
126,560.0,26.0,1,1,705.6331317949237,625.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
127,700.0,23.0,0,1,705.6331317949237,1271.0,670.4163818553365,-1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
128,750.0,80.0,3,1,701.0123730059954,14991.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
