,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
187,720.0,flat,54.0,True,1,1,Madrid,3296,bj,False
188,550.0,penthouse,75.0,True,2,2,Villa del Prado,53247,sin informacion,False
189,720.0,flat,49.0,False,3,1,Madrid,8411,3,False
190,740.0,flat,65.0,True,3,1,Madrid,8443,1,True
191,660.0,flat,155.0,False,3,2,Aranjuez,41119,sin informacion,sin informacion
192,720.0,flat,56.0,False,2,1,Madrid,6691,4,False
193,650.0,flat,31.0,False,1,1,Madrid,1207,3,False
194,650.0,flat,96.0,True,2,1,Aranjuez,43953,3,False
195,660.0,flat,168.0,False,4,2,Aranjuez,41221,3,True
196,690.0,flat,64.0,True,2,1,Alcalá de Henares,30634,bj,False
197,750.0,studio,25.0,True,0,1,Madrid,3177,5,True
198,725.0,flat,45.0,True,1,1,Madrid,10508,2,True
199,620.0,flat,85.0,False,1,1,Pinto,19767,bj,True
200,590.0,flat,52.0,True,1,1,Los Molinos,44526,bj,False
201,750.0,penthouse,80.0,True,0,1,Tres Cantos,20818,1,True
202,720.0,studio,36.0,True,0,1,Madrid,5975,2,True
203,700.0,flat,82.0,True,2,1,San Lorenzo de el Escorial,42463,3,False
204,692.0,flat,83.0,True,2,2,Torrejón de Ardoz,20294,sin informacion,True
205,670.0,flat,79.0,True,2,2,Torrejón de Ardoz,20294,sin informacion,True
206,609.0,flat,56.0,True,1,1,Alcalá de Henares,30186,bj,True
207,718.0,flat,86.0,True,2,2,Torrejón de Ardoz,20294,sin informacion,True
208,694.0,flat,81.0,True,2,2,Torrejón de Ardoz,20294,sin informacion,True
209,658.0,flat,78.0,True,2,2,Torrejón de Ardoz,20294,sin informacion,True
210,750.0,flat,36.0,False,2,1,Madrid,3620,2,True
211,723.0,flat,88.0,True,2,2,Torrejón de Ardoz,20294,sin informacion,True
212,728.0,flat,91.0,True,2,2,Torrejón de Ardoz,20294,sin informacion,True
213,650.0,studio,28.0,True,0,1,Madrid,4920,bj,False
214,750.0,flat,60.0,False,2,1,Alcalá de Henares,29663,1,False
215,735.0,flat,60.0,True,3,1,Parla,20886,4,False
216,699.0,penthouse,78.0,True,2,1,Colmenar Viejo,27684,2,False
217,725.0,flat,67.0,True,3,1,Móstoles,17191,4,False
218,740.0,flat,77.0,True,3,2,Alcalá de Henares,28385,bj,True
219,720.0,flat,73.0,True,1,1,Collado Villalba,34761,2,True
220,750.0,flat,79.0,True,3,1,Getafe,11728,en,True
221,710.0,flat,66.0,True,3,1,Parla,20588,4,False
222,725.0,flat,62.0,True,2,1,Madrid,7748,3,False
223,750.0,flat,46.0,False,1,1,Madrid,5680,bj,False
224,750.0,flat,61.0,True,2,1,Madrid,3161,1,True
225,730.0,flat,161.0,True,4,1,Aranjuez,44159,3,False
226,720.0,flat,110.0,False,2,1,Parla,21417,sin informacion,True
227,720.0,flat,48.0,False,2,1,Madrid,3551,bj,False
228,700.0,flat,57.0,False,2,1,Madrid,8410,4,False
229,750.0,duplex,75.0,True,2,2,Cobeña,24176,1,False
230,610.0,studio,26.0,False,0,1,Madrid,5343,3,True
231,740.0,flat,52.0,False,2,1,Móstoles,17525,4,False
232,715.0,flat,62.0,True,2,1,Colmenar Viejo,26558,bj,True
233,550.0,flat,57.0,False,2,1,Aranjuez,43521,bj,False
234,710.0,flat,36.0,True,1,1,Madrid,1315,bj,False
235,730.0,flat,51.0,True,2,1,Madrid,8093,2,False
236,750.0,studio,23.0,True,0,1,Madrid,1367,8,True
237,690.0,flat,33.0,False,1,1,Madrid,5232,3,True
238,740.0,flat,73.0,True,3,1,Parla,21838,4,True
239,750.0,duplex,66.0,True,1,1,Madrid,5627,bj,True
240,720.0,flat,44.0,False,3,1,Madrid,8176,2,False
241,475.0,flat,79.0,True,2,2,Navalafuente,45077,2,True
242,740.0,flat,41.0,True,2,1,Madrid,4787,2,False
243,740.0,flat,57.0,True,1,1,Madrid,3642,1,True
244,740.0,flat,62.0,True,2,1,Colmenar Viejo,26890,1,True
245,700.0,flat,74.0,False,2,1,Getafe,9950,4,False
246,730.0,flat,35.0,False,1,1,Madrid,760,2,True
247,700.0,studio,28.0,True,0,1,Madrid,9700,3,True
248,600.0,chalet,180.0,False,3,2,Meco,35543,sin informacion,sin informacion
249,750.0,flat,109.0,True,2,2,Valdemoro,24455,3,True
250,749.0,flat,38.0,True,1,1,Madrid,6506,2,True
