,price,size,municipality,distance,floor,hasLift,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_True
65,700.0,30.0,705.6331317949237,12049,701.6979621920462,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
66,700.0,27.0,705.6331317949237,1391,697.6398926981135,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,650.0,59.0,699.6096264559128,30562,701.6979621920462,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
68,550.0,40.0,674.3203496837928,17750,697.6398926981135,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
69,650.0,55.0,705.6331317949237,10296,710.7463805527138,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
70,750.0,65.0,705.6331317949237,5580,670.4163818553365,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
71,725.0,70.0,705.6331317949237,4117,670.4163818553365,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
72,700.0,80.0,699.6096264559128,29460,701.6979621920462,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
73,650.0,40.0,705.6331317949237,12224,678.6636365033631,702.2716741801357,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
74,695.0,90.0,705.6331317949237,7729,670.4163818553365,687.6335443462581,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
75,750.0,55.0,705.6331317949237,6017,670.4163818553365,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
76,650.0,65.0,705.6331317949237,7559,670.4163818553365,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
77,666.0,70.0,692.2585878985183,24862,701.6979621920462,702.2716741801357,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
78,750.0,78.0,699.6096264559128,29976,670.4163818553365,702.2716741801357,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
79,630.0,74.0,684.7290276328325,36483,670.4163818553365,702.2716741801357,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
80,635.0,55.0,685.5136046565373,14528,696.0917641954768,702.2716741801357,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
81,725.0,69.0,695.799965670853,35892,701.6979621920462,702.2716741801357,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
82,750.0,35.0,705.6331317949237,859,701.6979621920462,687.6335443462581,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
